food_id,food_name,quantity,expiry_date,provider_id,provider_type,location,food_type,meal_type,claim_id,receiver_id,status,timestamp,provider_name,address,provider_city,provider_contact,receiver_name,receiver_type,receiver_city,receiver_contact,food_status,time_of_day
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,491,574,Completed,2025-03-08 07:16:00,Figueroa-Soto,"113 Donna Pass
Port Michaelchester, NE 39187",South Kellyville,(599)442-0494,Mr. William Hunt,Shelter,Barreratown,564.854.6978x7462,active,Morning
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,984,368,Completed,2025-03-19 06:19:00,Figueroa-Soto,"113 Donna Pass
Port Michaelchester, NE 39187",South Kellyville,(599)442-0494,Debra Murray,NGO,Duncanchester,566-832-5437,expired,Morning
3,Fruits,46,2025-03-28,478,Catering Service,Lake Regina,Vegan,Breakfast,859,887,Cancelled,2025-03-13 06:36:00,"Lopez, Roach and Roach","8319 Brandi Place Suite 155
Jamesbury, NC 87170",Lake Regina,001-785-448-3246x762,Jean Woods,Shelter,Fernandezchester,+1-688-546-8304x8077,active,Morning
6,Vegetables,4,2025-03-24,378,Supermarket,South Johnshire,Vegan,Snacks,309,514,Cancelled,2025-03-14 02:19:00,Foster Ltd,"5394 Laura Cliffs
East Angela, NH 01271",South Johnshire,7045041352,Ashley Bell,Shelter,Olsonland,+1-733-905-4924x97502,active,Night
7,Dairy,29,2025-03-25,268,Grocery Store,Nolanmouth,Vegetarian,Dinner,879,825,Pending,2025-03-01 01:49:00,"White, Hutchinson and Williams","6135 Michael Extension Apt. 708
Brendaborough, MN 18905",Nolanmouth,655.056.4788x798,Charles Morris,Charity,New Olivia,(006)107-4825x44414,active,Night
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks,143,936,Completed,2025-03-05 11:36:00,Wong-Reese,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,Jacob Horton,NGO,Port Douglasland,+1-286-744-5283x04031,active,Morning
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks,860,345,Cancelled,2025-03-05 09:20:00,Wong-Reese,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,Eric Ramos,Individual,Rushfurt,515.928.1587x32812,active,Morning
11,Pasta,39,2025-03-17,96,Grocery Store,Deborahland,Vegan,Breakfast,471,337,Cancelled,2025-03-21 04:51:00,"Pierce, Walsh and Rogers","8840 Edwards Square Suite 343
Kimside, NE 41307",Deborahland,+1-065-024-5251x529,Jennifer Schmidt,Individual,South Michelleshire,007-561-4094x27296,expired,Night
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegetarian,Snacks,899,28,Pending,2025-03-16 06:18:00,Wells-Davis,"16029 Lisa Junctions
Port Mary, AZ 64519",Floresville,322.221.0619x89960,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178,active,Morning
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegetarian,Snacks,101,654,Cancelled,2025-03-07 02:19:00,Obrien-Carr,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,John Murray,Shelter,Fernandezberg,001-664-004-0117x5796,active,Night
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegetarian,Snacks,388,418,Completed,2025-03-05 01:43:00,Obrien-Carr,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,Miss Mary Turner,Charity,North Holly,899-330-2450,active,Night
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegetarian,Snacks,780,194,Pending,2025-03-08 13:58:00,Obrien-Carr,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,Alan Campbell,NGO,Shawmouth,(942)807-0793x71978,active,Afternoon
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks,881,647,Pending,2025-03-12 19:27:00,"Glover, Wilson and Hudson","3045 Joshua Fall Suite 109
Khanshire, AL 47705",East Ashleyshire,(315)080-3138,Christine Davis,Charity,Josephton,144.359.7605,active,Evening
